cache-misses_1s,node-loads_1s,branch-misses_1s,branch-load-misses_1s,LLC-store-misses_1s,branch-loads_1s,L1-dcache-stores_1s,L1-icache-load-misses_1s,branch-instructions_1s,iTLB-loads_1s,iTLB-load-misses_1s,dTLB-store-misses_1s,dTLB-load-misses_1s,dTLB-stores_1s,node-stores_1s,L1-dcache-load-misses_1s,cache-misses_2s,node-loads_2s,branch-misses_2s,branch-load-misses_2s,LLC-store-misses_2s,branch-loads_2s,L1-dcache-stores_2s,L1-icache-load-misses_2s,branch-instructions_2s,iTLB-loads_2s,iTLB-load-misses_2s,dTLB-store-misses_2s,dTLB-load-misses_2s,dTLB-stores_2s,node-stores_2s,L1-dcache-load-misses_2s,cache-misses_3s,node-loads_3s,branch-misses_3s,branch-load-misses_3s,LLC-store-misses_3s,branch-loads_3s,L1-dcache-stores_3s,L1-icache-load-misses_3s,branch-instructions_3s,iTLB-loads_3s,iTLB-load-misses_3s,dTLB-store-misses_3s,dTLB-load-misses_3s,dTLB-stores_3s,node-stores_3s,L1-dcache-load-misses_3s,cache-misses_4s,node-loads_4s,branch-misses_4s,branch-load-misses_4s,LLC-store-misses_4s,branch-loads_4s,L1-dcache-stores_4s,L1-icache-load-misses_4s,branch-instructions_4s,iTLB-loads_4s,iTLB-load-misses_4s,dTLB-store-misses_4s,dTLB-load-misses_4s,dTLB-stores_4s,node-stores_4s,L1-dcache-load-misses_4s,cache-misses_5s,node-loads_5s,branch-misses_5s,branch-load-misses_5s,LLC-store-misses_5s,branch-loads_5s,L1-dcache-stores_5s,L1-icache-load-misses_5s,branch-instructions_5s,iTLB-loads_5s,iTLB-load-misses_5s,dTLB-store-misses_5s,dTLB-load-misses_5s,dTLB-stores_5s,node-stores_5s,L1-dcache-load-misses_5s,label
37514691,2822421,10070509,10559671,4972315,875088331,661114306,57139716,825641176,1274640,843741,757225,928903,659626502,6144722,51608890,32085405,1967472,7169827,7409685,1870034,284809079,229824768,39802573,283255688,873150,742628,124587,744805,162781443,2226343,16047435,878068,59492,168434,169986,14795,2516034,2254262,1316899,2465276,18289,30206,3152,37027,2248112,19651,381550,7622056,613462,3129280,2928774,1111272,105557525,88981735,15214985,109066699,110782,188262,76927,220684,98443998,828140,10295384,578594,36829,105316,107185,10207,2107427,1567668,869593,1966467,10449,23199,2277,26126,1212879,16430,261616,1
49901539,3999875,15983066,15905409,7812096,897853137,756436026,73999248,983561267,1721115,1048760,906701,1093384,841332593,6516925,61246237,12889754,779969,3488287,3378372,1181865,78484720,55422098,15849347,56208013,315630,348368,37090,359728,55321246,515075,7377279,2928368,178884,539618,567139,223029,13511204,10015815,3191282,11859093,67586,73667,12161,92487,8727232,247019,1524567,5227156,494444,1697022,1738064,1059193,150351223,119944443,17604072,157815956,88500,176854,50297,179741,72375942,477929,8841821,839703,49040,2127409,2341496,35945,52385924,27129244,923435,48598163,20217,23926,9173,36467,18616934,116077,5774113,1
50400281,3256093,15329054,15610305,7440166,909703981,734120225,70138841,948103570,1738119,1206769,625905,1199580,827927127,7218574,56142268,9028599,522494,2566662,2626649,699109,65028562,53382036,15489266,57000977,329421,318623,26766,321555,42938177,748450,5382130,6328818,579552,2410025,2128991,604076,96424146,89607392,14341402,118132840,134188,230267,117218,248668,112890357,813095,10962642,624892,32320,139950,131073,80747,3629221,3992710,1044291,3459717,20329,24362,2087,21910,3439107,44404,482250,294960,17384,86868,75919,7653,1662329,1232785,454348,1932445,8099,11133,1097,16018,1322034,11231,169059,1
33857600,2281202,12144856,12142687,6133250,898523534,722133401,58023478,924673885,1429445,1028248,930139,1009779,750020694,5753687,48169674,18883610,1139479,5379531,5251200,1073214,141777700,110626642,30900836,139684120,781687,558527,79730,578305,115479718,1411378,12341463,4754250,497428,676027,645446,357465,40301053,32157071,7362232,38782887,46265,82369,13622,83184,24369174,287906,5218930,6697539,489980,2685645,2430988,684039,85020544,71995139,13118028,90817569,124640,205305,64711,185257,75213272,553371,6386720,461370,31313,578630,534956,30462,8573411,5374794,1445012,9134928,10191,14334,2200,9918,5576265,21731,1755962,1
48650176,3510185,16656488,16676601,6020216,938655692,790604661,69916162,1039331799,1558873,935646,778211,1019840,801691367,7425322,64522856,10553130,698731,2781877,3241447,843611,90660131,68394916,18700071,75487981,400440,345823,34169,323980,37893656,855249,5530313,387090,28581,60606,51706,8854,2006110,1593907,520708,2007491,7289,13362,1679,19069,969404,7912,155893,6894293,546512,3443720,2490100,482162,80447958,73502393,14122547,100157631,97611,249211,82802,191566,106963577,952689,10531088,499244,19424,2006027,1841195,32355,34514526,18736421,1011623,42037945,29691,32148,5706,23413,25445021,119196,7101670,1
44990563,2915019,14882658,15031526,5638060,997177964,764418224,63267106,959243505,1340039,967583,790874,1200557,753357626,7017048,64831163,13991588,850413,3144061,3049250,757572,72491073,68383573,21292707,104456491,566758,382281,53320,426686,82500870,1019597,8382992,4862981,406176,1131252,1155612,552324,62591166,54552502,12042786,78222498,111423,180134,54682,212537,56206990,474986,3915944,4334491,369667,1769848,2133217,494762,79264363,52630698,4809027,68284903,55976,54965,17531,116798,40786703,316751,4673095,470329,34026,2073367,2178353,44804,50110279,25702549,896988,50211525,8059,15767,7711,22995,17008230,48062,5227789,1
38124159,2570062,11693419,11974152,6508917,871163485,669451815,54348374,841482236,1271698,1018857,927161,1018563,756722743,5455367,52868191,27019401,1785695,6021739,6008256,2477186,181479129,137673052,32971473,168355281,896610,636481,76893,625911,121388000,1603931,14150834,537458,35998,67026,70906,9606,1169327,985012,518074,1197084,6098,13225,1357,19642,2053789,10413,202991,6143767,568339,1510664,2124579,1047165,121258607,84347556,11068799,133613219,74062,174846,50503,191944,90921615,638869,9341284,2278517,149148,1844391,2313074,62381,55207810,28184542,633363,55712056,13883,15570,9138,47963,14991730,203191,1180127,1
44129745,3036803,14416752,14843526,6840310,894493650,725311428,71067470,956903100,1729252,1001486,848429,1055694,795854397,6196135,43579193,11374452,729426,4012390,4119951,1347385,74403066,64148910,21486624,65050041,409740,382206,53344,370805,67252761,612613,7768427,5358682,453359,2302973,2220015,544929,68187050,55985910,9761997,64229042,49033,190111,49699,170618,70054905,633788,7913633,1626660,87488,1579326,1644272,98986,52268633,26651469,3477234,41424572,50497,86387,11411,79587,29801780,173898,2288040,584429,37660,89934,101335,13563,1595528,1230453,674661,1661897,9471,17002,2172,22968,1166864,11653,222911,1
32698106,2510536,10327104,10042903,6423243,797931741,672069881,44534578,856167948,983962,726087,749575,764420,643160849,3897021,52642822,30403701,1907823,8626228,8743208,2767029,261111163,207327651,47959318,268501802,1070146,768232,148260,776623,186373847,2430131,19082854,709665,40464,123298,123200,13955,2069301,2220350,927525,2149098,8189,21966,2156,30054,2199261,11841,255551,5019542,431832,2459271,2203670,761291,97087017,93328349,12693688,114000992,138981,206902,79553,247758,99060366,627765,9163877,605691,30628,102086,102116,12804,2181375,1665923,802553,1837084,9518,21204,2050,25684,1372283,13097,241657,1
37014361,2447567,11184602,10840497,5488599,848014985,698638795,41756251,856806564,836555,737829,627617,878773,685198943,5870519,51774938,29039035,1768549,8066698,8148019,2129668,217784370,168022405,44031527,223883307,1019132,796070,123118,825277,193608889,2620103,18836546,852520,56728,154007,154762,15750,2073989,1821687,1134369,3067120,16604,27432,2483,37312,2363502,16561,351424,6136907,432869,3205222,3445127,383732,122891991,81725193,13913729,121014337,62908,147028,53965,205364,108775147,852530,8004733,3620528,231819,463390,477420,267821,12526930,10353761,3075343,11919989,75688,77279,11781,89236,11216952,434821,1759962,1
