cache-misses_1s,branch-misses_1s,branch-load-misses_1s,L1-dcache-stores_1s,dTLB-stores_1s,cache-misses_2s,branch-misses_2s,branch-load-misses_2s,L1-dcache-stores_2s,dTLB-stores_2s,cache-misses_3s,branch-misses_3s,branch-load-misses_3s,L1-dcache-stores_3s,dTLB-stores_3s,cache-misses_4s,branch-misses_4s,branch-load-misses_4s,L1-dcache-stores_4s,dTLB-stores_4s,cache-misses_5s,branch-misses_5s,branch-load-misses_5s,L1-dcache-stores_5s,dTLB-stores_5s,label
37514691,10070509,10559671,661114306,659626502,32085405,7169827,7409685,229824768,162781443,878068,168434,169986,2254262,2248112,7622056,3129280,2928774,88981735,98443998,578594,105316,107185,1567668,1212879,1
49901539,15983066,15905409,756436026,841332593,12889754,3488287,3378372,55422098,55321246,2928368,539618,567139,10015815,8727232,5227156,1697022,1738064,119944443,72375942,839703,2127409,2341496,27129244,18616934,1
50400281,15329054,15610305,734120225,827927127,9028599,2566662,2626649,53382036,42938177,6328818,2410025,2128991,89607392,112890357,624892,139950,131073,3992710,3439107,294960,86868,75919,1232785,1322034,1
33857600,12144856,12142687,722133401,750020694,18883610,5379531,5251200,110626642,115479718,4754250,676027,645446,32157071,24369174,6697539,2685645,2430988,71995139,75213272,461370,578630,534956,5374794,5576265,1
48650176,16656488,16676601,790604661,801691367,10553130,2781877,3241447,68394916,37893656,387090,60606,51706,1593907,969404,6894293,3443720,2490100,73502393,106963577,499244,2006027,1841195,18736421,25445021,1
44990563,14882658,15031526,764418224,753357626,13991588,3144061,3049250,68383573,82500870,4862981,1131252,1155612,54552502,56206990,4334491,1769848,2133217,52630698,40786703,470329,2073367,2178353,25702549,17008230,1
38124159,11693419,11974152,669451815,756722743,27019401,6021739,6008256,137673052,121388000,537458,67026,70906,985012,2053789,6143767,1510664,2124579,84347556,90921615,2278517,1844391,2313074,28184542,14991730,1
44129745,14416752,14843526,725311428,795854397,11374452,4012390,4119951,64148910,67252761,5358682,2302973,2220015,55985910,70054905,1626660,1579326,1644272,26651469,29801780,584429,89934,101335,1230453,1166864,1
32698106,10327104,10042903,672069881,643160849,30403701,8626228,8743208,207327651,186373847,709665,123298,123200,2220350,2199261,5019542,2459271,2203670,93328349,99060366,605691,102086,102116,1665923,1372283,1
37014361,11184602,10840497,698638795,685198943,29039035,8066698,8148019,168022405,193608889,852520,154007,154762,1821687,2363502,6136907,3205222,3445127,81725193,108775147,3620528,463390,477420,10353761,11216952,1
